Fonte; Local; Sexo; Faixa etária; Raça; Carteira assinada; Serviço População Ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual; Escolaridade 
PNADC_012022 ; Ceará ; Homem ;  ; Preta ;  ;  ; 276277.20315251 ; 153560.65568627 ; 170351.34931621 ; 9.85650756353724 ; 55.5820943364269 ; 61.6595750110345 ; 1712.89829012106 ; 9.49849085127739 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ; Sim ; Trabalhador doméstico ; 3816.62156256 ; 3816.62156256 ; 3816.62156256 ; 0 ; 100 ; 100 ; 1400.41590434656 ; 8.46049889527981 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ; Sim ;  ; 392669.40789191 ; 392669.40789191 ; 392669.40789191 ; 0 ; 100 ; 100 ; 1972.85294025878 ; 11.1939544149862 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ; Não ; Trabalhador doméstico ; 16401.76335106 ; 16401.76335106 ; 16401.76335106 ; 0 ; 100 ; 100 ; 844.798432503338 ; 6.43823183651617 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ; Não ;  ; 430120.07949178 ; 430120.07949178 ; 430120.07949178 ; 0 ; 100 ; 100 ; 1121.21758897622 ; 9.46403878725938 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ;  ; Trabalhador doméstico ; 20218.38491362 ; 20218.38491362 ; 20218.38491362 ; 0 ; 100 ; 100 ; 950.971556455987 ; 6.89282310363192 
PNADC_012022 ; Ceará ; Homem ;  ; Negra ;  ;  ; 2582177.17112577 ; 1407012.99002327 ; 1558131.7386028 ; 9.69871448193722 ; 54.4894055201427 ; 60.3417827415572 ; 1777.51163081788 ; 9.42509988470447 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ; Sim ; Trabalhador doméstico ; 734.91196034 ; 734.91196034 ; 734.91196034 ; 0 ; 100 ; 100 ; 1550.87368810003 ; 11.9882475099112 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ; Sim ;  ; 157694.71970121 ; 157694.71970121 ; 157694.71970121 ; 0 ; 100 ; 100 ; 2353.63346614598 ; 12.0904206775822 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ; Não ; Trabalhador doméstico ; 1763.52004537 ; 1763.52004537 ; 1763.52004537 ; 0 ; 100 ; 100 ; 669.026028725374 ; 9.77736203159652 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ; Não ;  ; 132263.06718276 ; 132263.06718276 ; 132263.06718276 ; 0 ; 100 ; 100 ; 1121.64478597777 ; 10.4104076403072 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ;  ; Trabalhador doméstico ; 2498.43200571 ; 2498.43200571 ; 2498.43200571 ; 0 ; 100 ; 100 ; 928.420877410919 ; 10.427692389694 
PNADC_012022 ; Ceará ; Homem ;  ; Não Negra ;  ;  ; 969537.79901706 ; 547541.96037247 ; 612113.78035428 ; 10.5489897555381 ; 56.4745346625558 ; 63.1345968125075 ; 2360.78952595445 ; 10.4067193509533 
PNADC_012022 ; Ceará ; Homem ;  ;  ; Sim ; Trabalhador doméstico ; 4551.5335229 ; 4551.5335229 ; 4551.5335229 ; 0 ; 100 ; 100 ; 1424.70952412336 ; 9.03010574029623 
PNADC_012022 ; Ceará ; Homem ;  ;  ; Sim ;  ; 550364.12759312 ; 550364.12759312 ; 550364.12759312 ; 0 ; 100 ; 100 ; 2081.95721375143 ; 11.4497240230584 
PNADC_012022 ; Ceará ; Homem ;  ;  ; Não ; Trabalhador doméstico ; 18165.28339643 ; 18165.28339643 ; 18165.28339643 ; 0 ; 100 ; 100 ; 827.500317325669 ; 6.83277180358654 
PNADC_012022 ; Ceará ; Homem ;  ;  ; Não ;  ; 562383.14667454 ; 562383.14667454 ; 562383.14667454 ; 0 ; 100 ; 100 ; 1121.31832034012 ; 9.69407197047831 
PNADC_012022 ; Ceará ; Homem ;  ;  ;  ; Trabalhador doméstico ; 22716.81691933 ; 22716.81691933 ; 22716.81691933 ; 0 ; 100 ; 100 ; 948.464298656524 ; 7.34626619205076 
PNADC_012022 ; Ceará ; Homem ;  ;  ;  ;  ; 3551714.97014283 ; 1954554.95039574 ; 2170245.51895708 ; 9.93853306813833 ; 55.0313008455501 ; 61.1041577716977 ; 1940.96023874462 ; 9.69966819759949 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ; Sim ; Trabalhador doméstico ; 672.2914092 ; 672.2914092 ; 672.2914092 ; 0 ; 100 ; 100 ; 865.840565047904 ; 12 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ; Sim ;  ; 2370.34441789 ; 2370.34441789 ; 2370.34441789 ; 0 ; 100 ; 100 ; 1250.2347020281 ; 12 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ; Não ; Trabalhador doméstico ; 888.68556186 ; 888.68556186 ; 888.68556186 ; 0 ; 100 ; 100 ; 600.978510118902 ; 9.78356829346092 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ; Não ;  ; 1677.3746214 ; 1677.3746214 ; 1677.3746214 ; 0 ; 100 ; 100 ; 735.850453534365 ; 9.77365440890413 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ;  ; Trabalhador doméstico ; 1560.97697106 ; 1560.97697106 ; 1560.97697106 ; 0 ; 100 ; 100 ; 715.050970797749 ; 10.7381550830231 
PNADC_012022 ; Ceará ; Mulher ;  ; Amarela ;  ;  ; 18762.9116451 ; 7918.08134557 ; 8246.0821975 ; 3.97765683234932 ; 42.2007068803622 ; 43.9488409553615 ; 1506.39765832911 ; 10.0580025030293 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ; Sim ; Trabalhador doméstico ; 9007.34970163 ; 9007.34970163 ; 9007.34970163 ; 0 ; 100 ; 100 ; 1353.70724068465 ; 11.3340674371074 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ; Sim ;  ; 135683.61286461 ; 135683.61286461 ; 135683.61286461 ; 0 ; 100 ; 100 ; 2077.11086079338 ; 13.5783710496123 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ; Não ; Trabalhador doméstico ; 29598.59183058 ; 29598.59183058 ; 29598.59183058 ; 0 ; 100 ; 100 ; 705.836972214646 ; 8.43133664555228 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ; Não ;  ; 99724.22129533 ; 99724.22129533 ; 99724.22129533 ; 0 ; 100 ; 100 ; 1357.32809587503 ; 11.7368481859467 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ;  ; Trabalhador doméstico ; 38605.94153221 ; 38605.94153221 ; 38605.94153221 ; 0 ; 100 ; 100 ; 857.768468438083 ; 9.10372985971913 
PNADC_012022 ; Ceará ; Mulher ;  ; Branca ;  ;  ; 1111752.64677461 ; 416560.97522573 ; 472788.71390396 ; 11.892783610239 ; 37.4688539248588 ; 42.5264302518733 ; 2305.52624443713 ; 10.8968652772598 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ; Sim ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ; Sim ;  ; 2173.14771912 ; 2173.14771912 ; 2173.14771912 ; 0 ; 100 ; 100 ; 1567.01362545494 ; 12.3103544248585 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ; Não ; Trabalhador doméstico ; 1507.1351478 ; 1507.1351478 ; 1507.1351478 ; 0 ; 100 ; 100 ; 772.870591580173 ; 5.92512772967225 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ; Não ;  ; 2923.10950748 ; 2923.10950748 ; 2923.10950748 ; 0 ; 100 ; 100 ; 1033.90673720948 ; 9.17226695579054 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ;  ; Trabalhador doméstico ; 1507.1351478 ; 1507.1351478 ; 1507.1351478 ; 0 ; 100 ; 100 ; 772.870591580173 ; 5.92512772967225 
PNADC_012022 ; Ceará ; Mulher ;  ; Indígena ;  ;  ; 24517.74366669 ; 8713.15851385 ; 10427.6496075 ; 16.4417789068868 ; 35.5381744433839 ; 42.5310328277356 ; 1302.70582463677 ; 9.5077575332879 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ; Sim ; Trabalhador doméstico ; 16239.87341832 ; 16239.87341832 ; 16239.87341832 ; 0 ; 100 ; 100 ; 1522.48008279347 ; 9.94003096409185 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ; Sim ;  ; 229064.8022706 ; 229064.8022706 ; 229064.8022706 ; 0 ; 100 ; 100 ; 1652.51782925239 ; 12.281599364431 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ; Não ; Trabalhador doméstico ; 132572.4387295 ; 132572.4387295 ; 132572.4387295 ; 0 ; 100 ; 100 ; 595.576480506281 ; 8.77012042641774 
PNADC_012022 ; Ceará ; Mulher ;  ; Parda ; Não ;  ; 309407.74481404 ; 309407.74481404 ; 309407.74481404 ; 0 ; 100 ; 100 ; 1075.61955591088 ; 10.8595523273895 
