Fonte; Local; Sexo; Faixa etária; Raça; Carteira assinada; Posição na ocupação; Pessoas em idade ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual; Escolaridade; Horas trabalhadas 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ; Sim ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ; Sim ;  ; 4163.07899963 ; 4163.07899963 ; 4163.07899963 ; 0 ; 100 ; 100 ; 1764.01453420871 ; 11.1317067724534 ; 43.4556403074644 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ; Não ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ; Não ;  ; 1165.88984571 ; 1165.88984571 ; 1165.88984571 ; 0 ; 100 ; 100 ; 514.761000372569 ; 5.68551409725443 ; 24.2133251616824 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ;  ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; 
PNADC_012022 ; Ceará ; Homem ;  ; Amarela ;  ;  ; 16387.14719199 ; 8896.85147937 ; 11539.280083 ; 22.8994234009702 ; 54.2916431709283 ; 70.4166499989722 ; 1285.0670225448 ; 8.41874046419139 ; 37.3612325528556 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ; Sim ; Trabalhador doméstico ; 734.91196034 ; 734.91196034 ; 734.91196034 ; 0 ; 100 ; 100 ; 1550.87368810003 ; 11.9882475099112 ; 42.6823366534517 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ; Sim ;  ; 150277.75478547 ; 150277.75478547 ; 150277.75478547 ; 0 ; 100 ; 100 ; 2382.7127108692 ; 12.1485168753663 ; 42.206312813742 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ; Não ; Trabalhador doméstico ; 1763.52004537 ; 1763.52004537 ; 1763.52004537 ; 0 ; 100 ; 100 ; 669.026028725374 ; 9.77736203159652 ; 22.7092953184026 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ; Não ;  ; 128413.48609843 ; 128413.48609843 ; 128413.48609843 ; 0 ; 100 ; 100 ; 1134.3944024431 ; 10.4210894198266 ; 34.6675370892164 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ;  ; Trabalhador doméstico ; 2498.43200571 ; 2498.43200571 ; 2498.43200571 ; 0 ; 100 ; 100 ; 928.420877410919 ; 10.427692389694 ; 28.5843509244572 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Branca ;  ;  ; 928124.04470778 ; 525003.51030192 ; 584803.10531701 ; 10.225594643974 ; 56.5660930018484 ; 63.0091536418643 ; 2410.028367312 ; 10.4523786686124 ; 39.1610660560726 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ; Sim ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ; Sim ;  ; 3253.88591611 ; 3253.88591611 ; 3253.88591611 ; 0 ; 100 ; 100 ; 1765.00391246455 ; 10.7161929665026 ; 41.3737859896096 ; 
PNADC_012022 ; Ceará ; Homem ;  ; Indígena ; Não ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; 
